embedding_model,classifier,repeat,seed,category,precision,recall,f1,nb_test,nb_0,nb_1
bart,XGBoost,1,42,ChEMBL,0.9622950819672131,0.9607201309328969,0.9615069615069615,16851,16240,611
bart,XGBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
bart,XGBoost,1,42,OpenData,0.9803206997084548,0.9831871345029239,0.9817518248175182,82737,81369,1368
bart,XGBoost,1,42,TPC-DI,0.9435483870967742,0.9701492537313433,0.9566639411283728,15268,14665,603
bart,XGBoost,1,42,Wikidata,0.5,0.7142857142857143,0.5882352941176471,587,580,7
bert,RandomForest,1,42,ChEMBL,0.9935064935064936,0.7512274959083469,0.8555452003727866,16851,16240,611
bert,RandomForest,1,42,Magellan,1.0,1.0,1.0,75,59,16
bert,RandomForest,1,42,OpenData,0.9967453213995118,0.89546783625731,0.9433962264150944,82737,81369,1368
bert,RandomForest,1,42,TPC-DI,0.9911111111111112,0.7396351575456053,0.8471035137701804,15268,14665,603
bert,RandomForest,1,42,Wikidata,0.5,0.2857142857142857,0.36363636363636365,587,580,7
bert,LogisticRegression,1,42,ChEMBL,0.18915343915343916,0.9361702127659575,0.3147180192572215,16851,16240,611
bert,LogisticRegression,1,42,Magellan,0.5925925925925926,1.0,0.7441860465116279,75,59,16
bert,LogisticRegression,1,42,OpenData,0.4176896443185395,0.9700292397660819,0.583938393839384,82737,81369,1368
bert,LogisticRegression,1,42,TPC-DI,0.3088888888888889,0.9220563847429519,0.46275488972118184,15268,14665,603
bert,LogisticRegression,1,42,Wikidata,0.09090909090909091,0.8571428571428571,0.1643835616438356,587,580,7
bert,KNN,1,42,ChEMBL,0.9833729216152018,0.6775777414075287,0.8023255813953488,16851,16240,611
bert,KNN,1,42,Magellan,1.0,1.0,1.0,75,59,16
bert,KNN,1,42,OpenData,0.9854700854700855,0.8428362573099415,0.9085894405043341,82737,81369,1368
bert,KNN,1,42,TPC-DI,0.9164556962025316,0.6003316749585407,0.7254509018036072,15268,14665,603
bert,KNN,1,42,Wikidata,0.375,0.42857142857142855,0.4,587,580,7
bert,MLP,1,42,ChEMBL,0.863013698630137,0.8248772504091653,0.8435146443514644,16851,16240,611
bert,MLP,1,42,Magellan,1.0,1.0,1.0,75,59,16
bert,MLP,1,42,OpenData,0.9636638909916729,0.9305555555555556,0.9468203793231684,82737,81369,1368
bert,MLP,1,42,TPC-DI,0.8664383561643836,0.8391376451077943,0.8525695029486099,15268,14665,603
bert,MLP,1,42,Wikidata,0.2222222222222222,0.5714285714285714,0.32,587,580,7
bert,CatBoost,1,42,ChEMBL,0.8802919708029197,0.9869067103109657,0.9305555555555556,16851,16240,611
bert,CatBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
bert,CatBoost,1,42,OpenData,0.9184636118598383,0.9963450292397661,0.955820476858345,82737,81369,1368
bert,CatBoost,1,42,TPC-DI,0.8740740740740741,0.978441127694859,0.9233176838810642,15268,14665,603
bert,CatBoost,1,42,Wikidata,0.25,0.7142857142857143,0.37037037037037035,587,580,7
bert,XGBoost,1,42,ChEMBL,0.9622950819672131,0.9607201309328969,0.9615069615069615,16851,16240,611
bert,XGBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
bert,XGBoost,1,42,OpenData,0.9803206997084548,0.9831871345029239,0.9817518248175182,82737,81369,1368
bert,XGBoost,1,42,TPC-DI,0.9435483870967742,0.9701492537313433,0.9566639411283728,15268,14665,603
bert,XGBoost,1,42,Wikidata,0.5,0.7142857142857143,0.5882352941176471,587,580,7
distilbert,RandomForest,1,42,ChEMBL,0.9935064935064936,0.7512274959083469,0.8555452003727866,16851,16240,611
distilbert,RandomForest,1,42,Magellan,1.0,1.0,1.0,75,59,16
distilbert,RandomForest,1,42,OpenData,0.9967453213995118,0.89546783625731,0.9433962264150944,82737,81369,1368
distilbert,RandomForest,1,42,TPC-DI,0.9911111111111112,0.7396351575456053,0.8471035137701804,15268,14665,603
distilbert,RandomForest,1,42,Wikidata,0.5,0.2857142857142857,0.36363636363636365,587,580,7
distilbert,LogisticRegression,1,42,ChEMBL,0.18915343915343916,0.9361702127659575,0.3147180192572215,16851,16240,611
distilbert,LogisticRegression,1,42,Magellan,0.5925925925925926,1.0,0.7441860465116279,75,59,16
distilbert,LogisticRegression,1,42,OpenData,0.4176896443185395,0.9700292397660819,0.583938393839384,82737,81369,1368
distilbert,LogisticRegression,1,42,TPC-DI,0.3088888888888889,0.9220563847429519,0.46275488972118184,15268,14665,603
distilbert,LogisticRegression,1,42,Wikidata,0.09090909090909091,0.8571428571428571,0.1643835616438356,587,580,7
distilbert,KNN,1,42,ChEMBL,0.9833729216152018,0.6775777414075287,0.8023255813953488,16851,16240,611
distilbert,KNN,1,42,Magellan,1.0,1.0,1.0,75,59,16
distilbert,KNN,1,42,OpenData,0.9854700854700855,0.8428362573099415,0.9085894405043341,82737,81369,1368
distilbert,KNN,1,42,TPC-DI,0.9164556962025316,0.6003316749585407,0.7254509018036072,15268,14665,603
distilbert,KNN,1,42,Wikidata,0.375,0.42857142857142855,0.4,587,580,7
distilbert,MLP,1,42,ChEMBL,0.863013698630137,0.8248772504091653,0.8435146443514644,16851,16240,611
distilbert,MLP,1,42,Magellan,1.0,1.0,1.0,75,59,16
distilbert,MLP,1,42,OpenData,0.9636638909916729,0.9305555555555556,0.9468203793231684,82737,81369,1368
distilbert,MLP,1,42,TPC-DI,0.8664383561643836,0.8391376451077943,0.8525695029486099,15268,14665,603
distilbert,MLP,1,42,Wikidata,0.2222222222222222,0.5714285714285714,0.32,587,580,7
distilbert,CatBoost,1,42,ChEMBL,0.8802919708029197,0.9869067103109657,0.9305555555555556,16851,16240,611
distilbert,CatBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
distilbert,CatBoost,1,42,OpenData,0.9184636118598383,0.9963450292397661,0.955820476858345,82737,81369,1368
distilbert,CatBoost,1,42,TPC-DI,0.8740740740740741,0.978441127694859,0.9233176838810642,15268,14665,603
